<CHA>	S1C1	S1C2	S1C3
Time Meas_-	Lock-in_SR830_1_Voltage	Lock-in_SR830_1_Magnitude(R)	Bluefors_temperature_2_CH 1 50K
0.0	0.004	0.0	35.51854
0.1	0.004	0.0	35.51854
0.2	0.004	0.0	35.51854
0.3	0.004	0.0	35.51854
0.4	0.004	0.0	35.51854
0.5	0.004	0.0	35.51854
0.6	0.004	0.0	35.51854
0.7	0.004	0.0	35.51854
0.8	0.004	0.0	35.51854
0.9	0.004	0.0	35.51854
1.0	0.004	0.0	35.51854
1.1	0.004	0.0	35.51854
1.2	0.004	0.0	35.51854
1.3	0.004	0.0	35.51854
1.4	0.004	0.0	35.51854
1.5	0.004	0.0	35.51854
1.6	0.004	0.0	35.51854
1.7	0.004	0.0	35.51854
1.8	0.004	0.0	35.51854
1.9	0.004	0.0	35.51854
